disputer, disputant, disputé, je dispute,tu disputes,il dispute,nous disputons,vous disputez,ils disputent, j'ai disputé,tu as disputé,il a disputé,nous avons disputé,vous avez disputé,ils ont disputé, je disputais,tu disputais,il disputait,nous disputions,vous disputiez,ils disputaient, je disputai,tu disputas,il disputa,nous disputâmes,vous disputâtes,ils disputèrent, je disputerai,tu disputeras,il disputera,nous disputerons,vous disputerez,ils disputeront, je disputerais,tu disputerais,il disputerait,nous disputerions,vous disputeriez,ils disputeraient, que je dispute,que tu disputes,qu'il dispute,que nous disputions,que vous disputiez,qu'ils disputent, que je disputasse,que tu disputasses,qu'il disputât,que nous disputassions,que vous disputassiez,qu'ils disputassent, (tu) dispute,(nous) disputons,(vous) disputez
arguer, arguant, argué, j'argue,tu argues,il argue,nous arguons,vous arguez,ils arguent, j'ai argué,tu as argué,il a argué,nous avons argué,vous avez argué,ils ont argué, j'arguais,tu arguais,il arguait,nous arguions,vous arguiez,ils arguaient, j'arguai,tu arguas,il argua,nous arguâmes,vous arguâtes,ils arguèrent, j'arguerai,tu argueras,il arguera,nous arguerons,vous arguerez,ils argueront, j'arguerais,tu arguerais,il arguerait,nous arguerions,vous argueriez,ils argueraient, que j'argue,que tu argues,qu'il argue,que nous arguions,que vous arguiez,qu'ils arguent, que j'arguasse,que tu arguasses,qu'il arguât,que nous arguassions,que vous arguassiez,qu'ils arguassent, (tu) argue,(nous) arguons,(vous) arguez
discuter, discutant, discuté, je discute,tu discutes,il discute,nous discutons,vous discutez,ils discutent, j'ai discuté,tu as discuté,il a discuté,nous avons discuté,vous avez discuté,ils ont discuté, je discutais,tu discutais,il discutait,nous discutions,vous discutiez,ils discutaient, je discutai,tu discutas,il discuta,nous discutâmes,vous discutâtes,ils discutèrent, je discuterai,tu discuteras,il discutera,nous discuterons,vous discuterez,ils discuteront, je discuterais,tu discuterais,il discuterait,nous discuterions,vous discuteriez,ils discuteraient, que je discute,que tu discutes,qu'il discute,que nous discutions,que vous discutiez,qu'ils discutent, que je discutasse,que tu discutasses,qu'il discutât,que nous discutassions,que vous discutassiez,qu'ils discutassent, (tu) discute,(nous) discutons,(vous) discutez
débattre, débattant, débattu, je débats,tu débats,il débat,nous débattons,vous débattez,ils débattent, j'ai débattu,tu as débattu,il a débattu,nous avons débattu,vous avez débattu,ils ont débattu, je débattais,tu débattais,il débattait,nous débattions,vous débattiez,ils débattaient, je débattis,tu débattis,il débattit,nous débattîmes,vous débattîtes,ils débattirent, je débattrai,tu débattras,il débattra,nous débattrons,vous débattrez,ils débattront, je débattrais,tu débattrais,il débattrait,nous débattrions,vous débattriez,ils débattraient, que je débatte,que tu débattes,qu'il débatte,que nous débattions,que vous débattiez,qu'ils débattent, que je débattisse,que tu débattisses,qu'il débattît,que nous débattissions,que vous débattissiez,qu'ils débattissent, (tu) débats,(nous) débattons,(vous) débattez
poser, posant, posé, je pose,tu poses,il pose,nous posons,vous posez,ils posent, j'ai posé,tu as posé,il a posé,nous avons posé,vous avez posé,ils ont posé, je posais,tu posais,il posait,nous posions,vous posiez,ils posaient, je posai,tu posas,il posa,nous posâmes,vous posâtes,ils posèrent, je poserai,tu poseras,il posera,nous poserons,vous poserez,ils poseront, je poserais,tu poserais,il poserait,nous poserions,vous poseriez,ils poseraient, que je pose,que tu poses,qu'il pose,que nous posions,que vous posiez,qu'ils posent, que je posasse,que tu posasses,qu'il posât,que nous posassions,que vous posassiez,qu'ils posassent, (tu) pose,(nous) posons,(vous) posez
aboyer, aboyant, aboyé, j'aboie,tu aboies,il aboie,nous aboyons,vous aboyez,ils aboient, j'ai aboyé,tu as aboyé,il a aboyé,nous avons aboyé,vous avez aboyé,ils ont aboyé, j'aboyais,tu aboyais,il aboyait,nous aboyions,vous aboyiez,ils aboyaient, j'aboyai,tu aboyas,il aboya,nous aboyâmes,vous aboyâtes,ils aboyèrent, j'aboierai,tu aboieras,il aboiera,nous aboierons,vous aboierez,ils aboieront, j'aboierais,tu aboierais,il aboierait,nous aboierions,vous aboieriez,ils aboieraient, que j'aboie,que tu aboies,qu'il aboie,que nous aboyions,que vous aboyiez,qu'ils aboient, que j'aboyasse,que tu aboyasses,qu'il aboyât,que nous aboyassions,que vous aboyassiez,qu'ils aboyassent, (tu) aboie,(nous) aboyons,(vous) aboyez
être, étant, été, je suis,tu es,il est,nous sommes,vous êtes,ils sont, j'ai été,tu as été,il a été,nous avons été,vous avez été,ils ont été, j'étais,tu étais,il était,nous étions,vous étiez,ils étaient, je fus,tu fus,il fut,nous fûmes,vous fûtes,ils furent, je serai,tu seras,il sera,nous serons,vous serez,ils seront, je serais,tu serais,il serait,nous serions,vous seriez,ils seraient, que je sois,que tu sois,qu'il soit,que nous soyons,que vous soyez,qu'ils soient, que je fusse,que tu fusses,qu'il fût,que nous fussions,que vous fussiez,qu'ils fussent, (tu) sois,(nous) soyons,(vous) soyez
exister, existant, existé, j'existe,tu existes,il existe,nous existons,vous existez,ils existent, j'ai existé,tu as existé,il a existé,nous avons existé,vous avez existé,ils ont existé, j'existais,tu existais,il existait,nous existions,vous existiez,ils existaient, j'existai,tu existas,il exista,nous existâmes,vous existâtes,ils existèrent, j'existerai,tu existeras,il existera,nous existerons,vous existerez,ils existeront, j'existerais,tu existerais,il existerait,nous existerions,vous existeriez,ils existeraient, que j'existe,que tu existes,qu'il existe,que nous existions,que vous existiez,qu'ils existent, que j'existasse,que tu existasses,qu'il existât,que nous existassions,que vous existassiez,qu'ils existassent, (tu) existe,(nous) existons,(vous) existez
devenir, devenant, devenu, je deviens,tu deviens,il devient,nous devenons,vous devenez,ils deviennent, je suis devenu,tu es devenu,il est devenu,nous sommes devenus,vous êtes devenus,ils sont devenus, je devenais,tu devenais,il devenait,nous devenions,vous deveniez,ils devenaient, je devins,tu devins,il devint,nous devînmes,vous devîntes,ils devinrent, je deviendrai,tu deviendras,il deviendra,nous deviendrons,vous deviendrez,ils deviendront, je deviendrais,tu deviendrais,il deviendrait,nous deviendrions,vous deviendriez,ils deviendraient, que je devienne,que tu deviennes,qu'il devienne,que nous devenions,que vous deveniez,qu'ils deviennent, que je devinsse,que tu devinsses,qu'il devînt,que nous devinssions,que vous devinssiez,qu'ils devinssent, (tu) deviens,(nous) devenons,(vous) devenez
naître, naissant, né, je nais,tu nais,il naît,nous naissons,vous naissez,ils naissent, je suis né,tu es né,il est né,nous sommes nés,vous êtes nés,ils sont nés, je naissais,tu naissais,il naissait,nous naissions,vous naissiez,ils naissaient, je naquis,tu naquis,il naquit,nous naquîmes,vous naquîtes,ils naquirent, je naîtrai,tu naîtras,il naîtra,nous naîtrons,vous naîtrez,ils naîtront, je naîtrais,tu naîtrais,il naîtrait,nous naîtrions,vous naîtriez,ils naîtraient, que je naisse,que tu naisses,qu'il naisse,que nous naissions,que vous naissiez,qu'ils naissent, que je naquisse,que tu naquisses,qu'il naquît,que nous naquissions,que vous naquissiez,qu'ils naquissent, (tu) nais,(nous) naissons,(vous) naissez
demander, demandant, demandé, je demande,tu demandes,il demande,nous demandons,vous demandez,ils demandent, j'ai demandé,tu as demandé,il a demandé,nous avons demandé,vous avez demandé,ils ont demandé, je demandais,tu demandais,il demandait,nous demandions,vous demandiez,ils demandaient, je demandai,tu demandas,il demanda,nous demandâmes,vous demandâtes,ils demandèrent, je demanderai,tu demanderas,il demandera,nous demanderons,vous demanderez,ils demanderont, je demanderais,tu demanderais,il demanderait,nous demanderions,vous demanderiez,ils demanderaient, que je demande,que tu demandes,qu'il demande,que nous demandions,que vous demandiez,qu'ils demandent, que je demandasse,que tu demandasses,qu'il demandât,que nous demandassions,que vous demandassiez,qu'ils demandassent, (tu) demande,(nous) demandons,(vous) demandez
